Years,predation,predation rate,Predator,predator births,predator death rate,predator deaths,predator efficiency,Prey,prey birth rate,prey births
64.25,0,0.02,0.0191240229408,0,0.4,0.00764960917631,0.01,0,0.5,0
64.5,0,0.02,0.0172116206467,0,0.4,0.00688464825868,0.01,0,0.5,0
64.75,0,0.02,0.015490458582,0,0.4,0.00619618343281,0.01,0,0.5,0
65,0,0.02,0.0139414127238,0,0.4,0.00557656508953,0.01,0,0.5,0
65.25,0,0.02,0.0125472714514,0,0.4,0.00501890858057,0.01,0,0.5,0
65.5,0,0.02,0.0112925443063,0,0.4,0.00451701772252,0.01,0,0.5,0
65.75,0,0.02,0.0101632898757,0,0.4,0.00406531595027,0.01,0,0.5,0
66,0,0.02,0.0091469608881,0,0.4,0.00365878435524,0.01,0,0.5,0
66.25,0,0.02,0.00823226479929,0,0.4,0.00329290591971,0.01,0,0.5,0
66.5,0,0.02,0.00740903831936,0,0.4,0.00296361532774,0.01,0,0.5,0
66.75,0,0.02,0.00666813448742,0,0.4,0.00266725379497,0.01,0,0.5,0
67,0,0.02,0.00600132103868,0,0.4,0.00240052841547,0.01,0,0.5,0
67.25,0,0.02,0.00540118893481,0,0.4,0.00216047557392,0.01,0,0.5,0
67.5,0,0.02,0.00486107004133,0,0.4,0.00194442801653,0.01,0,0.5,0
67.75,0,0.02,0.0043749630372,0,0.4,0.00174998521488,0.01,0,0.5,0
68,0,0.02,0.00393746673348,0,0.4,0.00157498669339,0.01,0,0.5,0
68.25,0,0.02,0.00354372006013,0,0.4,0.00141748802405,0.01,0,0.5,0
68.5,0,0.02,0.00318934805412,0,0.4,0.00127573922165,0.01,0,0.5,0
68.75,0,0.02,0.00287041324871,0,0.4,0.00114816529948,0.01,0,0.5,0
69,0,0.02,0.00258337192384,0,0.4,0.00103334876953,0.01,0,0.5,0
69.25,0,0.02,0.00232503473145,0,0.4,0.000930013892581,0.01,0,0.5,0
69.5,0,0.02,0.00209253125831,0,0.4,0.000837012503323,0.01,0,0.5,0
69.75,0,0.02,0.00188327813248,0,0.4,0.00075331125299,0.01,0,0.5,0
70,0,0.02,0.00169495031923,0,0.4,0.000677980127691,0.01,0,0.5,0
70.25,0,0.02,0.00152545528731,0,0.4,0.000610182114922,0.01,0,0.5,0
70.5,0,0.02,0.00137290975857,0,0.4,0.00054916390343,0.01,0,0.5,0
70.75,0,0.02,0.00123561878272,0,0.4,0.000494247513087,0.01,0,0.5,0
71,0,0.02,0.00111205690445,0,0.4,0.000444822761778,0.01,0,0.5,0
71.25,0,0.02,0.001000851214,0,0.4,0.0004003404856,0.01,0,0.5,0
71.5,0,0.02,0.000900766092601,0,0.4,0.00036030643704,0.01,0,0.5,0
71.75,0,0.02,0.000810689483341,0,0.4,0.000324275793336,0.01,0,0.5,0
72,0,0.02,0.000729620535007,0,0.4,0.000291848214003,0.01,0,0.5,0
72.25,0,0.02,0.000656658481506,0,0.4,0.000262663392602,0.01,0,0.5,0
72.5,0,0.02,0.000590992633355,0,0.4,0.000236397053342,0.01,0,0.5,0
72.75,0,0.02,0.00053189337002,0,0.4,0.000212757348008,0.01,0,0.5,0
73,0,0.02,0.000478704033018,0,0.4,0.000191481613207,0.01,0,0.5,0
73.25,0,0.02,0.000430833629716,0,0.4,0.000172333451886,0.01,0,0.5,0
73.5,0,0.02,0.000387750266745,0,0.4,0.000155100106698,0.01,0,0.5,0
73.75,0,0.02,0.00034897524007,0,0.4,0.000139590096028,0.01,0,0.5,0
74,0,0.02,0.000314077716063,0,0.4,0.000125631086425,0.01,0,0.5,0
74.25,0,0.02,0.000282669944457,0,0.4,0.000113067977783,0.01,0,0.5,0
74.5,0,0.02,0.000254402950011,0,0.4,0.000101761180004,0.01,0,0.5,0
74.75,0,0.02,0.00022896265501,0,0.4,0.000091585062004,0.01,0,0.5,0
75,0,0.02,0.000206066389509,0,0.4,0.0000824265558036,0.01,0,0.5,0
75.25,0,0.02,0.000185459750558,0,0.4,0.0000741839002232,0.01,0,0.5,0
75.5,0,0.02,0.000166913775502,0,0.4,0.0000667655102009,0.01,0,0.5,0
75.75,0,0.02,0.000150222397952,0,0.4,0.0000600889591808,0.01,0,0.5,0
76,0,0.02,0.000135200158157,0,0.4,0.0000540800632627,0.01,0,0.5,0
76.25,0,0.02,0.000121680142341,0,0.4,0.0000486720569365,0.01,0,0.5,0
76.5,0,0.02,0.000109512128107,0,0.4,0.0000438048512428,0.01,0,0.5,0
76.75,0,0.02,0.0000985609152963,0,0.4,0.0000394243661185,0.01,0,0.5,0
77,0,0.02,0.0000887048237667,0,0.4,0.0000354819295067,0.01,0,0.5,0
77.25,0,0.02,0.00007983434139,0,0.4,0.000031933736556,0.01,0,0.5,0
77.5,0,0.02,0.000071850907251,0,0.4,0.0000287403629004,0.01,0,0.5,0
77.75,0,0.02,0.0000646658165259,0,0.4,0.0000258663266104,0.01,0,0.5,0
78,0,0.02,0.0000581992348733,0,0.4,0.0000232796939493,0.01,0,0.5,0
78.25,0,0.02,0.000052379311386,0,0.4,0.0000209517245544,0.01,0,0.5,0
78.5,0,0.02,0.0000471413802474,0,0.4,0.000018856552099,0.01,0,0.5,0
78.75,0,0.02,0.0000424272422227,0,0.4,0.0000169708968891,0.01,0,0.5,0
79,0,0.02,0.0000381845180004,0,0.4,0.0000152738072002,0.01,0,0.5,0
79.25,0,0.02,0.0000343660662004,0,0.4,0.0000137464264801,0.01,0,0.5,0
79.5,0,0.02,0.0000309294595803,0,0.4,0.0000123717838321,0.01,0,0.5,0
79.75,0,0.02,0.0000278365136223,0,0.4,0.0000111346054489,0.01,0,0.5,0
80,0,0.02,0.0000250528622601,0,0.4,0.000010021144904,0.01,0,0.5,0
80.25,0,0.02,0.0000225475760341,0,0.4,0.00000901903041362,0.01,0,0.5,0
80.5,0,0.02,0.0000202928184306,0,0.4,0.00000811712737226,0.01,0,0.5,0
80.75,0,0.02,0.0000182635365876,0,0.4,0.00000730541463503,0.01,0,0.5,0
81,0,0.02,0.0000164371829288,0,0.4,0.00000657487317153,0.01,0,0.5,0
81.25,0,0.02,0.0000147934646359,0,0.4,0.00000591738585438,0.01,0,0.5,0
81.5,0,0.02,0.0000133141181723,0,0.4,0.00000532564726894,0.01,0,0.5,0
81.75,0,0.02,0.0000119827063551,0,0.4,0.00000479308254205,0.01,0,0.5,0
82,0,0.02,0.0000107844357196,0,0.4,0.00000431377428784,0.01,0,0.5,0
82.25,0,0.02,0.00000970599214764,0,0.4,0.00000388239685906,0.01,0,0.5,0
82.5,0,0.02,0.00000873539293288,0,0.4,0.00000349415717315,0.01,0,0.5,0
82.75,0,0.02,0.00000786185363959,0,0.4,0.00000314474145584,0.01,0,0.5,0
83,0,0.02,0.00000707566827563,0,0.4,0.00000283026731025,0.01,0,0.5,0
83.25,0,0.02,0.00000636810144807,0,0.4,0.00000254724057923,0.01,0,0.5,0
83.5,0,0.02,0.00000573129130326,0,0.4,0.0000022925165213,0.01,0,0.5,0
83.75,0,0.02,0.00000515816217293,0,0.4,0.00000206326486917,0.01,0,0.5,0
84,0,0.02,0.00000464234595564,0,0.4,0.00000185693838226,0.01,0,0.5,0
84.25,0,0.02,0.00000417811136008,0,0.4,0.00000167124454403,0.01,0,0.5,0
84.5,0,0.02,0.00000376030022407,0,0.4,0.00000150412008963,0.01,0,0.5,0
84.75,0,0.02,0.00000338427020166,0,0.4,0.00000135370808067,0.01,0,0.5,0
85,0,0.02,0.0000030458431815,0,0.4,0.0000012183372726,0.01,0,0.5,0
85.25,0,0.02,0.00000274125886335,0,0.4,0.00000109650354534,0.01,0,0.5,0
85.5,0,0.02,0.00000246713297701,0,0.4,9.86853190805e-7,0.01,0,0.5,0
85.75,0,0.02,0.00000222041967931,0,0.4,8.88167871724e-7,0.01,0,0.5,0
86,0,0.02,0.00000199837771138,0,0.4,7.99351084552e-7,0.01,0,0.5,0
86.25,0,0.02,0.00000179853994024,0,0.4,7.19415976097e-7,0.01,0,0.5,0
86.5,0,0.02,0.00000161868594622,0,0.4,6.47474378487e-7,0.01,0,0.5,0
86.75,0,0.02,0.0000014568173516,0,0.4,5.82726940638e-7,0.01,0,0.5,0
87,0,0.02,0.00000131113561644,0,0.4,5.24454246574e-7,0.01,0,0.5,0
87.25,0,0.02,0.00000118002205479,0,0.4,4.72008821917e-7,0.01,0,0.5,0
87.5,0,0.02,0.00000106201984931,0,0.4,4.24807939725e-7,0.01,0,0.5,0
87.75,0,0.02,9.55817864382e-7,0,0.4,3.82327145753e-7,0.01,0,0.5,0
88,0,0.02,8.60236077944e-7,0,0.4,3.44094431178e-7,0.01,0,0.5,0
88.25,0,0.02,7.74212470149e-7,0,0.4,3.0968498806e-7,0.01,0,0.5,0
88.5,0,0.02,6.96791223134e-7,0,0.4,2.78716489254e-7,0.01,0,0.5,0
88.75,0,0.02,6.27112100821e-7,0,0.4,2.50844840328e-7,0.01,0,0.5,0
89,0,0.02,5.64400890739e-7,0,0.4,2.25760356296e-7,0.01,0,0.5,0
89.25,0,0.02,5.07960801665e-7,0,0.4,2.03184320666e-7,0.01,0,0.5,0
89.5,0,0.02,4.57164721499e-7,0,0.4,1.82865888599e-7,0.01,0,0.5,0
89.75,0,0.02,4.11448249349e-7,0,0.4,1.64579299739e-7,0.01,0,0.5,0
90,0,0.02,3.70303424414e-7,0,0.4,1.48121369766e-7,0.01,0,0.5,0
90.25,0,0.02,3.33273081972e-7,0,0.4,1.33309232789e-7,0.01,0,0.5,0
90.5,0,0.02,2.99945773775e-7,0,0.4,1.1997830951e-7,0.01,0,0.5,0
90.75,0,0.02,2.69951196398e-7,0,0.4,1.07980478559e-7,0.01,0,0.5,0
91,0,0.02,2.42956076758e-7,0,0.4,9.71824307032e-8,0.01,0,0.5,0
91.25,0,0.02,2.18660469082e-7,0,0.4,8.74641876328e-8,0.01,0,0.5,0
91.5,0,0.02,1.96794422174e-7,0,0.4,7.87177688696e-8,0.01,0,0.5,0
91.75,0,0.02,1.77114979957e-7,0,0.4,7.08459919826e-8,0.01,0,0.5,0
92,0,0.02,1.59403481961e-7,0,0.4,6.37613927843e-8,0.01,0,0.5,0
92.25,0,0.02,1.43463133765e-7,0,0.4,5.73852535059e-8,0.01,0,0.5,0
92.5,0,0.02,1.29116820388e-7,0,0.4,5.16467281553e-8,0.01,0,0.5,0
92.75,0,0.02,1.16205138349e-7,0,0.4,4.64820553398e-8,0.01,0,0.5,0
93,0,0.02,1.04584624515e-7,0,0.4,4.18338498058e-8,0.01,0,0.5,0
93.25,0,0.02,9.41261620631e-8,0,0.4,3.76504648252e-8,0.01,0,0.5,0
93.5,0,0.02,8.47135458568e-8,0,0.4,3.38854183427e-8,0.01,0,0.5,0
93.75,0,0.02,7.62421912711e-8,0,0.4,3.04968765084e-8,0.01,0,0.5,0
94,0,0.02,6.8617972144e-8,0,0.4,2.74471888576e-8,0.01,0,0.5,0
94.25,0,0.02,6.17561749296e-8,0,0.4,2.47024699718e-8,0.01,0,0.5,0
94.5,0,0.02,5.55805574366e-8,0,0.4,2.22322229746e-8,0.01,0,0.5,0
94.75,0,0.02,5.0022501693e-8,0,0.4,2.00090006772e-8,0.01,0,0.5,0
95,0,0.02,4.50202515237e-8,0,0.4,1.80081006095e-8,0.01,0,0.5,0
95.25,0,0.02,4.05182263713e-8,0,0.4,1.62072905485e-8,0.01,0,0.5,0
95.5,0,0.02,3.64664037342e-8,0,0.4,1.45865614937e-8,0.01,0,0.5,0
95.75,0,0.02,3.28197633608e-8,0,0.4,1.31279053443e-8,0.01,0,0.5,0
96,0,0.02,2.95377870247e-8,0,0.4,1.18151148099e-8,0.01,0,0.5,0
96.25,0,0.02,2.65840083222e-8,0,0.4,1.06336033289e-8,0.01,0,0.5,0
96.5,0,0.02,2.392560749e-8,0,0.4,9.57024299599e-9,0.01,0,0.5,0
96.75,0,0.02,2.1533046741e-8,0,0.4,8.6132186964e-9,0.01,0,0.5,0
97,0,0.02,1.93797420669e-8,0,0.4,7.75189682676e-9,0.01,0,0.5,0
97.25,0,0.02,1.74417678602e-8,0,0.4,6.97670714408e-9,0.01,0,0.5,0
97.5,0,0.02,1.56975910742e-8,0,0.4,6.27903642967e-9,0.01,0,0.5,0
97.75,0,0.02,1.41278319668e-8,0,0.4,5.65113278671e-9,0.01,0,0.5,0
98,0,0.02,1.27150487701e-8,0,0.4,5.08601950803e-9,0.01,0,0.5,0
98.25,0,0.02,1.14435438931e-8,0,0.4,4.57741755723e-9,0.01,0,0.5,0
98.5,0,0.02,1.02991895038e-8,0,0.4,4.11967580151e-9,0.01,0,0.5,0
98.75,0,0.02,9.26927055339e-9,0,0.4,3.70770822136e-9,0.01,0,0.5,0
99,0,0.02,8.34234349805e-9,0,0.4,3.33693739922e-9,0.01,0,0.5,0
99.25,0,0.02,7.50810914825e-9,0,0.4,3.0032436593e-9,0.01,0,0.5,0
99.5,0,0.02,6.75729823342e-9,0,0.4,2.70291929337e-9,0.01,0,0.5,0
99.75,0,0.02,6.08156841008e-9,0,0.4,2.43262736403e-9,0.01,0,0.5,0
100,0,0.02,5.47341156907e-9,0,0.4,2.18936462763e-9,0.01,0,0.5,0
